month,usd_ugx,E_IFEM_MR,E_OFF_MR,E_EP
2024-12,3664.08171212121,3664.08171212121,3664.08171212121,3681.13636363636
2025-01,3688.95898760331,3688.95898760331,3688.95898760331,3684.76
2025-02,3677.70182954545,3677.70182954545,3677.71232954545,3678.81909090909
2025-03,3667.8645995671,3667.8645995671,3667.9,3661.62
2025-04,3669.61205681818,3669.61205681818,3669.61,3664.66840909091
2025-05,3653.39715367965,3653.39715367965,3653.39715367965,3631.81886363636
2025-06,3605.83843434343,3605.83843434343,3605.83843434343,3594.59045454545
2025-07,3586.56590909091,3586.56590909091,3586.56590909091,3585.02
2025-08,3563.92886363636,3563.92886363636,3563.92886363636,3550.36
2025-09,3507.79020661157,3507.79020661157,3507.79020661157,3490.0
2025-10,3463.85576446281,3463.85576446281,3463.85576446281,3478.95
2025-11,3575.136625,3575.14,3575.136625,3630.09
2025-12,3575.22887445887,3575.22883116883,3575.22887445887,3619.65
2026-01,3562.14371212121,3562.14371212121,3562.14371212121,3563.18136363636
2026-02,3568.2289354067,3568.22898325359,3568.22898325359,3600.0
2026-03,3730.53098701299,3730.53098701299,3730.53098701299,3762.57795454545
2026-04,3716.69922619048,3716.69922619048,3716.69922619048,3749.52
2026-05,3764.10986772487,3764.10986772487,3764.10986772487,3773.82785714286
2026-06,3710.63582142857,3710.63582142857,3710.63582142857,3665.1
2026-07,3704.51471861472,3704.51471861472,3704.51471861472,3751.84071428571
